YEAR,MO,DY,T2M,T2MDEW,T2MWET,QV2M,PRECTOTCORR,PS,WS10M,WD10M,WS50M,WD50M,RH2M,TS
1981,1,1,-12.31,-20.78,-16.54,1.04,0,59.05,2.93,272.5,3.76,273.56,48.56,-14.06
1981,1,2,-11.42,-18.51,-14.96,1.28,0.02,58.97,3.46,267.62,4.54,269,55.81,-12.49
1981,1,3,-12.3,-21,-16.65,1.04,0,58.87,2.98,258.12,3.77,259.38,47.5,-14.14
1981,1,4,-11.1,-15.13,-13.11,1.89,0,58.57,2.45,205.06,3.02,205.69,72.69,-12.02
1981,1,5,-12,-16.06,-14.03,1.65,0,58.55,3.52,240.06,4.5,241.19,72,-12.1
1981,1,6,-12.23,-16.05,-14.13,1.71,0,58.44,3.16,213.25,3.98,214.06,74.31,-12.79
1981,1,7,-11.77,-13.64,-12.71,2.08,0.03,58.38,2.7,206.94,3.38,207.5,87.56,-12.33
1981,1,8,-11.19,-15.52,-13.35,1.77,0.22,58.45,3.95,226.25,5.12,227.75,72.38,-11.32
1981,1,9,-12.52,-17.41,-14.97,1.46,0.02,58.8,2.91,262.62,3.77,262.69,66.94,-12.59
1981,1,10,-14.24,-23.6,-18.92,0.79,0,59.22,2.55,266.19,3.19,266.88,42.69,-15.74
1981,1,11,-12.67,-18.88,-15.77,1.28,0,59.16,3.05,222.75,3.88,224.25,58.62,-14.11
1981,1,12,-11.13,-14.53,-12.84,1.89,0,59.18,3.06,233.38,3.91,234.56,78.62,-11.46
1981,1,13,-10.83,-13.91,-12.37,2.01,0,59.24,1.63,210.75,2.16,209.12,79.38,-10.33
1981,1,14,-12.74,-21.17,-16.95,0.98,0,59.36,1.99,164.38,2.47,164.25,48.69,-13.56
1981,1,15,-13.17,-21.75,-17.46,0.92,0,59.55,2.5,267.06,3.1,268.12,47.44,-14.74
1981,1,16,-12.82,-19.37,-16.1,1.22,0,59.6,3.45,253.12,4.47,255.12,58.81,-13.81
1981,1,17,-10.62,-15.95,-13.29,1.65,0,59.41,5.1,255.38,7.19,257.12,68.31,-11.18
1981,1,18,-9.1,-14.99,-12.04,1.83,0,59.06,4.69,254.94,6.32,256.38,64.75,-9.77
1981,1,19,-8.44,-11.81,-10.13,2.5,0.12,58.69,3.3,227.75,4.23,228.5,79.5,-8.64
1981,1,20,-10.49,-17.18,-13.84,1.53,0,58.85,4.77,283.19,6.56,284.25,61.88,-10.44
1981,1,21,-10.41,-17.38,-13.9,1.46,0,58.73,5.41,225.94,7.89,227.5,58.5,-10.69
1981,1,22,-10.82,-13.92,-12.37,2.01,0.02,58.34,5.39,218,7.75,219.44,78.94,-10.99
1981,1,23,-11.07,-16.84,-13.95,1.53,0.01,58.31,5.59,240.69,7.56,241.69,66.12,-11.31
1981,1,24,-10.1,-14.99,-12.54,1.83,0,58.62,5.24,223.12,7.2,224,71.81,-10.19
1981,1,25,-10.55,-13.95,-12.24,2.01,0.08,58.65,6.15,215.44,8.5,216.81,79.62,-10.52
1981,1,26,-10.81,-17.15,-13.99,1.53,0.04,58.72,5.84,254.31,8.25,255.06,60.81,-10.68
1981,1,27,-12.45,-19.35,-15.9,1.22,0,58.84,5.38,248.12,7.53,249.62,58.5,-12.31
1981,1,28,-11.2,-16.01,-13.6,1.71,0,58.74,5.17,245.19,7.08,246.94,70.44,-10.81
1981,1,29,-8.49,-13.1,-10.79,2.2,0.1,58.47,4.81,243.31,6.48,244.88,73.12,-8.31
1981,1,30,-9.87,-13.47,-11.67,2.14,0.04,58.4,4.51,229.19,6.27,230.44,75.44,-10.1
1981,1,31,-9.92,-14.08,-11.99,2.01,0.02,58.53,4.2,218.75,5.62,219.75,73.69,-10.14
1981,2,1,-9.66,-15.19,-12.42,1.83,0.01,58.59,5.48,240.31,7.42,241.12,67.69,-9.23
1981,2,2,-12.2,-19.43,-15.81,1.22,0,58.81,5.11,259.75,6.83,261.12,57.31,-11.92
1981,2,3,-12.11,-19.2,-15.65,1.22,0,58.87,5.62,254.88,7.94,256.56,57.5,-12.33
1981,2,4,-9.71,-16.67,-13.19,1.53,0,58.92,6.2,256.38,8.83,257.94,58.44,-9.91
1981,2,5,-7.89,-14.61,-11.25,1.89,0,59.19,5.2,269.12,7.4,270.19,60.69,-8.02
1981,2,6,-6.31,-13.96,-10.13,2.08,0,59.16,2.91,273.62,3.87,274.25,55.31,-7.05
1981,2,7,-8.73,-14.06,-11.39,2.01,0.07,58.81,2.44,20.31,2.98,20.12,66.31,-8.24
1981,2,8,-10.47,-16.19,-13.33,1.65,0.3,58.77,3.37,183.44,4.48,184.62,65.5,-9.8
1981,2,9,-11.31,-17.17,-14.24,1.53,0.17,58.78,3.03,253,3.82,255.19,63.06,-11.29
1981,2,10,-9.88,-14.52,-12.2,1.89,0.17,58.72,3.2,221.06,4.27,221.88,72.38,-9.55
